IP source,IP destination,Length,Flag,Numéro ACK,Numéro WIN,Numéro seq,ICMP Request/Reply
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],989,512,1002497398:1002497518, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2544627891,512,294189577:294189697, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],31,512,1398461889:1398462009, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],989,512,1995017329:1995017449, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,921320533:921320653, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,248505708:248505828, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,558621145:558621265, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1118905776:1118905896, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1158043116:1158043236, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1025,512,1469406826:1469406946, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4195674092,512,492373102:492373222, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,1687855121:1687855241, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1153,512,1360633195:1360633315, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1253,512,1274977706:1274977826, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1289,512,549939990:549940110, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,1109408249:1109408369, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2597773766,512,1283855019:1283855139, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],31,512,623143483:623143603, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2,512,709005792:709005912, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],32,512,1528805205:1528805325, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2,512,940059508:940059628, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],32,512,1190337142:1190337262, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2874145239,512,1484037464:1484037584, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],46,512,566224598:566224718, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],46,512,788308167:788308287, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],47,512,96067834:96067954, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1226579504:1226579624, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1389,512,1551737466:1551737586, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,368629672:368629792, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1489,512,527715727:527715847, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1897998019:1897998139, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1589,512,1187006652:1187006772, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,836414851:836414971, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1689,512,97200857:97200977, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,964382000:964382120, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1789,512,64311516:64311636, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,1940462409:1940462529, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,709004881:709005001, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1783812004:1783812124, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1889,512,2027959598:2027959718, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],221,512,763370841:763370961, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],286,512,629902483:629902603, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1167925997:1167926117, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1989,512,1590590930:1590591050, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],800,512,1025391341:1025391461, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],429,512,22267219:22267339, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1838110461:1838110581, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2089,512,1314325144:1314325264, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,1221538397:1221538517, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,121272366:121272486, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1689815904:1689816024, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2189,512,424777574:424777694, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],120638078,512,1811461816:1811461936, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],248,512,891455149:891455269, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,378465819:378465939, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,1060801994:1060802114, 
